End of Period,Credit Number,Region,Country Code,Country,Borrower,Credit Status,Service Charge Rate,Currency of Commitment,Project Name,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IDA,Due to IDA,Exchange Adjustment,Borrower's Obligation,Sold 3rd Party,Repaid 3rd Party,Due 3rd Party,Credits Held,First Repayment Date,Last Repayment Date,Agreement Signing Date,Board Approval Date,Effective Date (Most Recent),Closed Date (Most Recent),Last Disbursement Date,Currency of Commitment_USD,Loan Duration,Loan Duration in Years,Time to Repay,Time to Repay in Years,Region Total,Debt Left in Years,Original Project Name,Total Principal Amount
2020-05-31,IDA04891,AFRICA,TD,Chad,Ministere des Finances et du Budget,Fully Repaid,0.75,USD,Irrigation,19239973.134410698,115014.51515036164,0.0,19124958.61926034,19124958.61926034,0.0,0,0.0,0.0,0.0,0.0,0.0,1984-06-01,2023-12-01,1976-10-07,1976-08-10,1977-02-09,1987-06-30,1991-07-08,USD,17279 days 00:00:00.000000000,47.30829517375442,1279 days 00:00:00.000000000,3.5017830619383012,61335.58663079993,829.514637535336,IRRIG. SATEGUI DERES,750798904058.8091
2020-05-31,IDA07390,AFRICA,TD,Chad,Ministere des Finances et du Budget,Fully Repaid,0.75,USD,Irrigation,4569493.619422542,0.0,0.0,4569493.619422542,4569493.619422542,0.0,0,0.0,0.0,0.0,0.0,0.0,1987-12-01,2027-06-01,1977-09-28,1977-09-06,1978-05-15,1987-06-30,1987-09-22,USD,18165 days 00:00:00.000000000,49.73408078194624,2557 days 00:00:00.000000000,7.000828216869614,61335.58663079993,829.514637535336,SAHELIAN ZONE PROJEC,750798904058.8091
2020-05-31,IDA07540,SOUTH ASIA,PK,Pakistan,MINISTRY OF FINANCE AND ECONOMIC AFFAIRS,Repaying,0.75,USD,Irrigation,168349764.92609367,9766899.009765286,0.0,158582865.91632843,123017297.80073732,35565568.11559104,0,35565568.11559104,0.0,0.0,0.0,35565568.11559104,1988-04-01,2027-10-01,1978-01-19,1977-12-06,1978-12-28,1992-06-30,1992-11-19,USD,18196 days 00:00:00.000000000,49.81895589916289,2679 days 00:00:00.000000000,7.334852871722212,18121.995660417382,3299.1177094669974,IRRIGATION (SCARP-VI,750798904058.8091
2020-05-31,IDA07660,AFRICA,BF,Burkina Faso,DIRECTION DE LA DETTE PUBLIQUE,Fully Repaid,0.75,USD,Urbanization,19720972.46277097,13553.454774737113,0.0,19707419.007996235,19707419.007996235,0.0,0,0.0,0.0,0.0,0.0,0.0,1988-03-15,2027-09-15,1978-03-16,1978-01-31,1979-02-02,1985-12-31,1986-07-28,USD,18124 days 00:00:00.000000000,49.621826594659716,2663 days 00:00:00.000000000,7.291046359610396,61335.58663079993,2184.8799085539063,URBAN,750798904058.8091
2020-05-31,IDA07820,AFRICA,SD,Sudan,Ministry of Finance and National Economy,Repaying,0.75,USD,Livestock,60124916.04503345,3508040.5112744686,0.0,56616875.53375898,3680072.951358288,52936802.58240069,0,52936802.58240069,0.0,0.0,0.0,52936802.58240069,1988-09-01,2028-03-01,1978-06-16,1978-03-23,1979-07-09,1986-12-31,1987-07-09,USD,18241 days 00:00:00.000000000,49.942161714477365,2831 days 00:00:00.000000000,7.751014736784465,61335.58663079993,319.24269492186704,LIVESTOCK MARKETING,750798904058.8091
2020-05-31,IDA07960,AFRICA,ZR,"Congo, Democratic Republic of",MINISTERE DES FINANCES,Fully Repaid,0.75,USD,Energy,21644969.77621204,6153792.9253483275,0.0,15491176.850863716,15491176.850863716,0.0,0,0.0,0.0,0.0,0.0,0.0,1988-09-15,2028-03-15,1978-06-08,1978-05-02,1981-01-30,1987-12-31,1988-10-20,USD,18215 days 00:00:00.000000000,49.87097613229567,2845 days 00:00:00.000000000,7.789345434882304,61335.58663079993,1140.2616070145177,OIL PALM DEVELOPMENT,750798904058.8091
2020-05-31,IDA08010,AFRICA,TZ,Tanzania,Ministry of Finance and Planning,Fully Repaid,0.75,USD,Agriculture,66137407.64953679,8210221.066220625,0.0,57927186.58331617,57927186.58331617,0.0,0,0.0,0.0,0.0,0.0,0.0,1988-08-15,2028-02-15,1978-06-14,1978-05-16,1978-10-02,1989-06-30,1990-06-20,USD,18172 days 00:00:00.000000000,49.75324613099516,2816 days 00:00:00.000000000,7.709946131679637,61335.58663079993,4279.269252619835,CASHEW NUTS II,750798904058.8091
2020-05-31,IDA08110,AFRICA,TD,Chad,Ministere des Finances et du Budget,Fully Repaid,0.75,USD,Education,19961472.126951106,1096489.5321252304,0.0,18864982.594825875,18864982.594825875,0.0,0,0.0,0.0,0.0,0.0,0.0,1988-12-01,2028-06-01,1978-06-05,1978-05-23,1979-01-11,1988-12-31,1989-07-13,USD,18272 days 00:00:00.000000000,50.02703683169401,2923 days 00:00:00.000000000,8.002902181427407,61335.58663079993,829.514637535336,EDUCATION,750798904058.8091
2020-05-31,IDA08290,MIDDLE EAST AND NORTH AFRICA,RY,"Yemen, Republic of",Minister of Planning & Intl Co-operation,Repaying,0.75,USD,Energy,12024983.20900669,0.0,0.0,12024983.20900669,9138987.238845084,2885995.9701616056,0,2885995.9701616056,0.0,0.0,0.0,2885995.9701616056,1988-10-01,2028-04-01,1978-07-14,1978-06-13,1979-09-18,1987-12-31,1988-12-27,USD,18190 days 00:00:00.000000000,49.80252845712096,2862 days 00:00:00.000000000,7.835889854001109,2767.9281573201365,1577.9297316166653,POWER,750798904058.8091
2020-05-31,IDA08330,AFRICA,TZ,Tanzania,Ministry of Finance and Planning,Fully Repaid,0.75,USD,Industrialization,48099932.83602676,0.0,0.0,48099932.83602676,48099932.83602676,0.0,0,0.0,0.0,0.0,0.0,0.0,1988-10-01,2028-04-01,1978-07-28,1978-06-29,1979-05-07,1987-06-30,1986-05-13,USD,18174 days 00:00:00.000000000,49.758721945009135,2862 days 00:00:00.000000000,7.835889854001109,61335.58663079993,4279.269252619835,MOROGORO TEXTILE,750798904058.8091
